POSTCODE,TOWNNAME,SUBURBNAME,STREETNAME,HOUSENUMBER,CUSTOM1,SORTINFO
1022,AUCKLAND,POINT CHEVALIER,PASADENA,9, AVENUE,20500518
1022,AUCKLAND,POINT CHEVALIER,PASADENA,7, AVENUE,20500519
1022,AUCKLAND,POINT CHEVALIER,PASADENA,5, AVENUE,20500520
1022,AUCKLAND,POINT CHEVALIER,PASADENA,3, AVENUE,20500521
1022,AUCKLAND,POINT CHEVALIER,PASADENA,1, AVENUE,20500522
1022,AUCKLAND,POINT CHEVALIER,PREMIER,9, AVENUE,20500523
1022,AUCKLAND,POINT CHEVALIER,PREMIER,7, AVENUE,20500524
1022,AUCKLAND,POINT CHEVALIER,GREAT NORTH,1025, ROAD,20500525
1022,AUCKLAND,POINT CHEVALIER,GREAT NORTH,1023, ROAD,20500526
1022,AUCKLAND,POINT CHEVALIER,GREAT NORTH,1021, ROAD,20500527
1022,AUCKLAND,POINT CHEVALIER,GREAT NORTH,1019, ROAD,20500528
1022,AUCKLAND,POINT CHEVALIER,GREAT NORTH,1017, ROAD,20500529
1022,AUCKLAND,POINT CHEVALIER,GREAT NORTH,2/1015, ROAD,20500530
1022,AUCKLAND,POINT CHEVALIER,GREAT NORTH,1/1015, ROAD,20500531
1022,AUCKLAND,POINT CHEVALIER,GREAT NORTH,1013, ROAD,20500532
1022,AUCKLAND,POINT CHEVALIER,GREAT NORTH,1011, ROAD,20500533
1022,AUCKLAND,POINT CHEVALIER,GREAT NORTH,1009, ROAD,20500534
1022,AUCKLAND,POINT CHEVALIER,GREAT NORTH,1003, ROAD,20500535
1022,AUCKLAND,WESTERN SPRINGS,MOTIONS,136, ROAD,20500536
1022,AUCKLAND,WESTERN SPRINGS,MOTIONS,134, ROAD,20500537
1022,AUCKLAND,WESTERN SPRINGS,MOTIONS,100, ROAD,20500538
1022,AUCKLAND,WESTERN SPRINGS,MOTIONS,102, ROAD,20500539
1022,AUCKLAND,WESTERN SPRINGS,MOTIONS,4, ROAD,20500540
1022,AUCKLAND,WESTERN SPRINGS,MEOLA,200, ROAD,20500541
1022,AUCKLAND,WESTERN SPRINGS,MEOLA,180, ROAD,20500542
1022,AUCKLAND,WESTMERE,OLD MILL,145, ROAD,20500543
1022,AUCKLAND,WESTMERE,OLD MILL,143, ROAD,20500544
1022,AUCKLAND,WESTMERE,OLD MILL,141, ROAD,20500545
1022,AUCKLAND,WESTMERE,OLD MILL,139, ROAD,20500546
1022,AUCKLAND,WESTMERE,SAVAGE,2, STREET,20500547
1022,AUCKLAND,WESTMERE,SAVAGE,4, STREET,20500548
1022,AUCKLAND,WESTMERE,SAVAGE,6, STREET,20500549
1022,AUCKLAND,WESTMERE,SAVAGE,8, STREET,20500550
1022,AUCKLAND,WESTMERE,SAVAGE,10, STREET,20500551
1022,AUCKLAND,WESTMERE,SAVAGE,12, STREET,20500552
1022,AUCKLAND,WESTMERE,SAVAGE,14, STREET,20500553
1022,AUCKLAND,WESTMERE,SAVAGE,16, STREET,20500554
1022,AUCKLAND,WESTMERE,SAVAGE,18, STREET,20500555
1022,AUCKLAND,WESTMERE,SAVAGE,29, STREET,20500556
1022,AUCKLAND,WESTMERE,SAVAGE,31, STREET,20500557
1022,AUCKLAND,WESTMERE,SAVAGE,27, STREET,20500558
1022,AUCKLAND,WESTMERE,SAVAGE,25, STREET,20500559
1022,AUCKLAND,WESTMERE,SAVAGE,21, STREET,20500560
1022,AUCKLAND,WESTMERE,SAVAGE,19, STREET,20500561
1022,AUCKLAND,WESTMERE,SAVAGE,17, STREET,20500562
1022,AUCKLAND,WESTMERE,SAVAGE,15, STREET,20500563
1022,AUCKLAND,WESTMERE,SAVAGE,13, STREET,20500564
1022,AUCKLAND,WESTMERE,SAVAGE,11, STREET,20500565
1022,AUCKLAND,WESTMERE,SAVAGE,2/9, STREET,20500566
1022,AUCKLAND,WESTMERE,SAVAGE,1/9, STREET,20500567
1022,AUCKLAND,WESTMERE,SAVAGE,4/9, STREET,20500568
1022,AUCKLAND,WESTMERE,SAVAGE,3/9, STREET,20500569
1022,AUCKLAND,WESTMERE,SAVAGE,7, STREET,20500570
1022,AUCKLAND,WESTMERE,SAVAGE,5, STREET,20500571
1022,AUCKLAND,WESTMERE,SAVAGE,3, STREET,20500572
1022,AUCKLAND,WESTMERE,SAVAGE,1, STREET,20500573
1022,AUCKLAND,WESTMERE,OLD MILL,2/103A, ROAD,20500574
1022,AUCKLAND,WESTMERE,OLD MILL,1/103A, ROAD,20500575
1022,AUCKLAND,WESTMERE,OLD MILL,5/103A, ROAD,20500576
1022,AUCKLAND,WESTMERE,OLD MILL,4/103A, ROAD,20500577
1022,AUCKLAND,WESTMERE,OLD MILL,3/103A, ROAD,20500578
1022,AUCKLAND,WESTMERE,OLD MILL,103, ROAD,20500579
1022,AUCKLAND,WESTMERE,OLD MILL,2/103, ROAD,20500580
1022,AUCKLAND,WESTMERE,OLD MILL,101, ROAD,20500581
1022,AUCKLAND,WESTMERE,OLD MILL,99A, ROAD,20500582
1022,AUCKLAND,WESTMERE,OLD MILL,99, ROAD,20500583
1022,AUCKLAND,WESTMERE,OLD MILL,97B, ROAD,20500584
1022,AUCKLAND,WESTMERE,OLD MILL,97, ROAD,20500585
1022,AUCKLAND,WESTMERE,OLD MILL,95B, ROAD,20500586
1022,AUCKLAND,WESTMERE,OLD MILL,95, ROAD,20500587
1022,AUCKLAND,WESTMERE,OLD MILL,93, ROAD,20500588
1022,AUCKLAND,WESTMERE,OLD MILL,91, ROAD,20500589
